timestamp,batch_id,step,temperature_c,pressure_bar,ph,mixing_rpm,operator_id,equipment_id
2024-03-12 06:00:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:01:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:02:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:03:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:04:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:05:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:06:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:07:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:08:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:09:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:10:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:11:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:12:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:13:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:14:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:15:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:16:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:17:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:18:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:19:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:20:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:21:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:22:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:23:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:24:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:25:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:26:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:27:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:28:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:29:00,B441,WEIGHING,,,,,OP001,EQ-M01
2024-03-12 06:30:00,B441,MIXING,23.9,1.43,7.14,162.0,OP002,EQ-M02
2024-03-12 06:31:00,B441,MIXING,20.5,1.24,7.1,159.0,OP002,EQ-M02
2024-03-12 06:32:00,B441,MIXING,20.6,1.25,6.95,162.0,OP002,EQ-M02
2024-03-12 06:33:00,B441,MIXING,23.2,1.41,6.98,157.0,OP002,EQ-M02
2024-03-12 06:34:00,B441,MIXING,22.8,1.37,7.13,159.0,OP002,EQ-M02
2024-03-12 06:35:00,B441,MIXING,23.8,1.40,7.19,159.0,OP002,EQ-M02
2024-03-12 06:36:00,B441,MIXING,23.9,1.44,6.99,161.0,OP002,EQ-M02
2024-03-12 06:37:00,B441,MIXING,20.8,1.26,7.1,158.0,OP002,EQ-M02
2024-03-12 06:38:00,B441,MIXING,21.6,1.30,6.99,163.0,OP002,EQ-M02
2024-03-12 06:39:00,B441,MIXING,20.6,1.26,6.89,161.0,OP002,EQ-M02
2024-03-12 06:40:00,B441,MIXING,22.2,1.35,7.08,161.0,OP002,EQ-M02
2024-03-12 06:41:00,B441,MIXING,24.2,1.47,6.95,160.0,OP002,EQ-M02
2024-03-12 06:42:00,B441,MIXING,23.4,1.42,6.88,160.0,OP002,EQ-M02
2024-03-12 06:43:00,B441,MIXING,23.9,1.44,7.08,159.0,OP002,EQ-M02
2024-03-12 06:44:00,B441,MIXING,22.3,1.33,6.86,164.0,OP002,EQ-M02
2024-03-12 06:45:00,B441,MIXING,23.3,1.38,7.03,158.0,OP002,EQ-M02
2024-03-12 06:46:00,B441,MIXING,23.2,1.40,7.02,162.0,OP002,EQ-M02
2024-03-12 06:47:00,B441,MIXING,20.2,1.25,6.89,159.0,OP002,EQ-M02
2024-03-12 06:48:00,B441,MIXING,24.3,1.46,6.82,161.0,OP002,EQ-M02
2024-03-12 06:49:00,B441,MIXING,21.5,1.30,7.02,160.0,OP002,EQ-M02
2024-03-12 06:50:00,B441,MIXING,23.3,1.41,7.13,158.0,OP002,EQ-M02
2024-03-12 06:51:00,B441,MIXING,20.1,1.20,7.09,161.0,OP002,EQ-M02
2024-03-12 06:52:00,B441,MIXING,20.8,1.26,6.86,161.0,OP002,EQ-M02
2024-03-12 06:53:00,B441,MIXING,22.2,1.35,6.92,159.0,OP002,EQ-M02
2024-03-12 06:54:00,B441,MIXING,21.8,1.33,6.85,157.0,OP002,EQ-M02
2024-03-12 06:55:00,B441,MIXING,24.5,1.46,6.91,163.0,OP002,EQ-M02
2024-03-12 06:56:00,B441,MIXING,23.9,1.44,6.98,159.0,OP002,EQ-M02
2024-03-12 06:57:00,B441,MIXING,20.5,1.25,6.98,154.0,OP002,EQ-M02
2024-03-12 06:58:00,B441,MIXING,21.5,1.32,6.87,155.0,OP002,EQ-M02
2024-03-12 06:59:00,B441,MIXING,23.8,1.41,6.97,160.0,OP002,EQ-M02
2024-03-12 07:00:00,B441,MIXING,22.9,1.39,6.83,160.0,OP002,EQ-M02
2024-03-12 07:01:00,B441,MIXING,20.2,1.20,6.93,161.0,OP002,EQ-M02
2024-03-12 07:02:00,B441,MIXING,20.5,1.20,6.87,157.0,OP002,EQ-M02
2024-03-12 07:03:00,B441,MIXING,22.9,1.37,7.04,159.0,OP002,EQ-M02
2024-03-12 07:04:00,B441,MIXING,24.8,1.47,7.11,162.0,OP002,EQ-M02
2024-03-12 07:05:00,B441,MIXING,28.2,1.76,7.18,157.0,OP002,EQ-M02
2024-03-12 07:06:00,B441,MIXING,27.8,1.73,6.93,158.0,OP002,EQ-M02
2024-03-12 07:07:00,B441,MIXING,22.2,1.36,7.13,160.0,OP002,EQ-M02
2024-03-12 07:08:00,B441,MIXING,20.7,1.27,6.84,158.0,OP002,EQ-M02
2024-03-12 07:09:00,B441,MIXING,21.4,1.28,7.09,160.0,OP002,EQ-M02
2024-03-12 07:10:00,B441,MIXING,20.5,1.26,6.89,157.0,OP002,EQ-M02
2024-03-12 07:11:00,B441,MIXING,22.8,1.36,7.13,162.0,OP002,EQ-M02
2024-03-12 07:12:00,B441,MIXING,21.6,1.31,6.92,159.0,OP002,EQ-M02
2024-03-12 07:13:00,B441,MIXING,21.3,1.29,6.87,158.0,OP002,EQ-M02
2024-03-12 07:14:00,B441,MIXING,22.2,1.34,7.16,164.0,OP002,EQ-M02
2024-03-12 07:15:00,B441,MIXING,24.5,1.48,7.01,163.0,OP002,EQ-M02
2024-03-12 07:16:00,B441,MIXING,23.9,1.45,6.95,161.0,OP002,EQ-M02
2024-03-12 07:17:00,B441,MIXING,23.7,1.43,7.17,155.0,OP002,EQ-M02
2024-03-12 07:18:00,B441,MIXING,20.6,1.26,6.86,158.0,OP002,EQ-M02
2024-03-12 07:19:00,B441,MIXING,23.0,1.39,6.88,157.0,OP002,EQ-M02
2024-03-12 07:20:00,B441,MIXING,23.9,1.42,7.0,159.0,OP002,EQ-M02
2024-03-12 07:21:00,B441,MIXING,20.1,1.21,6.85,161.0,OP002,EQ-M02
2024-03-12 07:22:00,B441,MIXING,20.6,1.24,7.08,156.0,OP002,EQ-M02
2024-03-12 07:23:00,B441,MIXING,21.0,1.28,7.09,156.0,OP002,EQ-M02
2024-03-12 07:24:00,B441,MIXING,20.7,1.25,7.17,158.0,OP002,EQ-M02
